sample	chr1:142500000-142600000	chr2:89800000-89900000	chr4:49100000-49200000	chr7:116200000-116300000	chr7:116400000-116500000	chr7:116500000-116600000	chr10:39100000-39200000	chr15:20400000-20500000	chr15:20500000-20600000	chr15:21900000-22000000	chr15:22300000-22400000	chr15:22400000-22500000	chr15:22500000-22600000	chr17:22200000-22300000	chr19:27800000-27900000	chr21:10700000-10800000	chr21:10800000-10900000
V37_S1	75.7157	53.2297	60.9044	37.5108	39.7189	33.7717	27.5662	107.608	84.8617	53.1528	28.2837	36.6246	36.2061	92.6304	62.0234	176.484	117.57
V37_S10	61.6693	55.1272	60.1036	37.8144	38.3342	34.0256	29.271	77.704	70.5065	33.0948	39.5897	54.1265	56.6661	93.184	55.4682	181.1	143.431
V37_S12	65.3858	51.8451	54.4058	38.2199	38.4037	34.8331	26.2426	95.9321	84.7451	43.8483	43.7743	52.8719	52.255	94.2821	62.7533	125.762	57.7799
V37_S13	74.1407	58.1506	60.5232	37.966	39.8022	35.0816	31.1204	115.505	103.566	58.8487	44.0541	53.3911	55.0554	80.8164	55.9356	145.704	103.277
V37_S15	85.991	82.1063	70.4995	38.2315	38.5408	34.5413	45.5382	135.572	125.23	60.37	45.1358	53.6863	56.1435	73.6532	51.3005	156.953	138.622
V37_S16	71.6843	66.5507	72.5892	38.1157	38.6538	35.4213	49.2469	95.7677	87.8132	53.4122	46.6047	53.3936	53.4253	79.0318	56.0693	147.504	115.498
V37_S2	71.1	65.8644	62.0373	39.1922	39.9984	35.4806	35.0657	140.294	145.16	82.0347	100.393	122.675	125.656	79.535	57.0686	126.798	88.1107
V37_S3	61.9221	63.8199	53.6415	39.2687	39.3521	34.5807	41.5293	136.639	133.376	63.2226	78.4518	89.1711	87.7174	94.2107	66.1256	140.027	80.4014
V37_S4	73.3502	64.3423	56.5803	39.2877	40.6766	35.8121	30.5379	80.6983	73.2222	44.9139	46.1898	52.8124	50.794	80.4742	67.0135	182.032	122.034
V37_S9	69.4792	84.1347	84.3976	37.2343	39.4098	35.0911	47.0834	102.435	96.9405	51.2916	43.7743	53.1967	56.18	71.8186	52.6423	157.274	145.685
V3_S7	65.6914	53.9924	43.8783	37.29	38.9894	36.1184	26.5767	109.827	104.777	58.8419	55.3573	70.6196	70.9899	83.8963	55.7472	129.907	72.0596
V3_S8	53.776	47.3533	67.2285	38.0849	38.4815	33.8746	27.0797	65.5124	60.4675	35.5211	43.3516	52.7441	53.6632	80.8463	53.4828	164.093	112.11
V5_S5	63.3029	40.7994	47.3442	39.0276	38.8391	35.2641	22.049	75.5211	81.712	42.7953	65.2192	70.6016	67.4622	69.3513	66.0716	171.831	83.1926
V5_S7	68.3504	50.526	52.9647	39.3582	38.7024	35.4425	25.7714	76.9657	77.1026	36.2779	45.9846	53.6846	50.2665	88.7698	63.7432	165.622	89.8309
V6_S10	76.3267	56.2192	75.4012	37.7006	38.0509	35.9774	38.0355	78.9092	83.0805	34.8448	45.2345	51.9289	54.4784	72.1972	53.8967	125.785	97.5182
V6_S11	76.4722	55.7848	44.9028	38.5431	38.8856	36.7479	25.9504	86.7558	74.617	45.8748	31.7207	36.7034	34.152	86.8782	66.7291	168.936	93.705
V6_S9	58.3447	58.4957	57.9638	38.9957	38.6598	36.3001	26.4081	72.4649	72.5912	45.3424	49.7441	52.0701	50.0552	81.9806	70.3509	202.858	113.987
V7_S1	60.8772	57.4123	56.8136	38.5063	38.9576	34.7498	26.817	125.014	117.163	65.9658	55.3922	70.3381	70.4635	60.042	58.2225	127.144	72.46
V7_S2	52.3247	37.0332	42.4163	38.5115	38.7423	35.5649	20.1161	89.7258	84.8945	55.2797	57.1828	73.3991	68.6966	94.1089	66.9256	155.203	78.6635
V17_S20	78.8509	47.8479	66.3484	35.7894	27.5154	28.9435	25.3911	149.497	161.919	80.9149	126.206	131.42	92.6967	74.1739	78.1815	200.116	124.34
V19_S1	63.4179	61.9843	63.3311	39.8339	38.2178	33.8683	24.6777	82.7789	90.2413	50.5882	59.7572	71.7625	69.2153	79.6172	60.2977	153.233	90.3697
V19_S10	65.3928	45.9009	42.5857	39.0361	38.5878	34.7123	20.6908	68.3691	56.7767	35.8043	31.2539	36.3829	34.5716	99.7194	72.1664	172.613	77.4049
V19_S11	68.3534	48.0766	45.6686	38.6047	38.6165	35.397	18.6596	53.6034	32.598	26.4818	15.2476	18.0495	17.463	93.7275	73.5988	167.919	75.601
V19_S12	51.976	49.6302	46.7141	38.0279	37.532	33.1455	20.1025	72.7034	63.7741	34.0431	29.7261	37.6436	36.4236	79.0587	64.399	139.25	63.2832
V19_S2	54.2758	50.5042	63.369	35.0302	33.4955	31.2625	24.4444	86.7123	85.0701	45.4664	37.0273	50.038	47.9872	67.321	57.7251	127.688	54.3851
V19_S3	73.2	42.8858	38.6066	39.4871	38.2363	35.6029	17.5724	106.718	108.965	64.4275	81.4513	85.7882	80.1483	99.2514	84.0298	220.354	86.6385
V19_S5	71.3602	46.1149	42.0664	38.7848	38.6421	34.445	19.2646	80.7948	73.533	34.0259	46.6708	52.8535	51.3792	86.392	73.5865	183.393	78.2444
V19_S6	75.5472	55.1339	54.8654	39.5235	38.6879	34.3247	25.7927	64.3117	57.731	35.8084	32.8178	36.0862	33.1419	94.2662	72.265	161.68	74.6885
V19_S7	60.2559	46.7082	49.3974	76.7779	102.785	70.3758	28.476	67.4685	66.363	32.3673	43.4439	53.4027	52.094	65.6591	74.7826	143.094	60.0378
V19_S9	65.1296	43.6004	44.756	39.5064	38.1995	34.9364	18.134	96.2059	89.9549	45.7987	49.392	53.5712	50.6851	92.2165	78.3057	182.837	74.9408
V20_S1	63.1884	44.2735	38.3313	38.8211	38.5043	34.3952	31.2305	70.515	57.1317	37.6274	30.8961	37.4338	32.873	98.5544	82.1179	208.242	85.3501
V20_S10	66.6305	53.6531	44.853	36.9756	35.7284	34.0931	23.6068	119.122	123.503	66.1246	74.4316	84.8797	80.2155	89.671	69.1025	171.891	85.4778
V20_S11	67.1314	34.373	44.1421	39.6575	38.648	36.503	19.0229	102.065	102.736	62.2034	48.8335	52.1617	48.1894	77.913	79.7764	183.069	75.7351
V20_S12	62.1198	59.2573	56.9922	37.6043	37.7659	35.3824	38.3718	156.347	170.795	93.6038	89.3679	105.538	103.859	85.4262	63.4038	144.225	79.3724
V20_S2	49.1398	35.5483	40.1874	38.9689	38.3582	36.6993	18.0017	113.395	108.048	66.428	78.2961	86.1239	81.5024	125.419	120.057	146.944	55.7022
V20_S3	57.8859	41.9919	37.8201	38.4862	37.7192	35.2326	17.4199	52.7905	42.6182	26.4032	34.593	36.18	33.5394	91.4757	81.9165	183.1	73.0473
V20_S4	65.0663	52.1845	48.6366	39.0748	37.7362	34.6681	25.2095	91.7102	89.7791	52.242	46.5616	53.4343	50.3901	79.8719	64.9127	157.794	90.6259
V20_S5	62.1334	46.4023	42.2827	37.3252	36.4139	32.7104	19.7892	70.938	56.8887	32.6255	29.7365	35.7664	34.9519	93.6015	72.2712	148.281	55.5116
V20_S6	55.1484	45.3277	42.9805	40.5215	39.6878	36.3014	20.0825	82.5988	82.774	42.5395	59.287	68.3223	62.9332	98.5277	78.1975	174.97	73.2403
V20_S7	63.4987	53.2562	42.893	39.2163	38.4516	35.0308	20.2176	145.87	157.294	80.327	110.56	126.48	121.067	76.2335	67.4398	147.129	62.1016
V20_S8	55.3716	36.2498	38.9918	37.0386	37.0646	33.4789	17.8071	72.1009	55.3398	36.2585	29.1016	36.9924	34.6722	92.2513	64.447	138.417	57.3161
V20_S9	59.2034	44.8385	45.7019	38.9619	37.1944	35.3049	18.6917	85.6086	88.9307	43.6857	62.2649	71.2173	64.9772	90.3395	75.4914	181.356	93.9487
VY_S5	57.8262	49.778	63.5326	36.0391	32.9891	32.2494	22.4355	56.6647	46.6808	24.154	26.1936	35.7212	34.865	100.61	62.4467	167.01	103.821
